"2477","reparar (v)","to repair, to mend, to fix"
"2478","rescatar (v)","to rescue, save"
"2479","reservar (v)","to reserve, book"
"2480","residir (v)","to reside, live in"
"2481","restar (v)","to subtract, minimize"
"2482","retroceder (v)","to go back"
"2483","rezar (v)","to pray, recite"
"2484","sacrificar (v)","to sacrifice"
"2485","sacudir (v)","to shake, jolt"
"2486","seleccionar (v)","to select"
"2487","sembrar (v)","to sow, plant"
"2488","sobrar (v)","to be too much, left over"
"2489","sonreír (v)","to smile"
"2490","sujetar (v)","to fasten, attach, hold"
"2491","suprimir (v)","to suppress, delete"
"2492","tejer (v)","to sew, weave"
"2493","tolerar (v)","to tolerate, put up with"
"2494","tragar (v)","to swallow"
"2495","transportar (v)","to transport, carry"
"2496","trazar (v)","to draw, trace"
"2497","triunfar (v)","to triumph"
"2498","tropezar (v)","to trip, stumble"
"2499","valorar (v)","to value"
"2500","violar (v)","to violate, trespass, rape"
"2501","aceptable (adj)","acceptable, suitable"
"2502","altísimo (adj)","very high, tall"
"2503","ambicioso (adj)","ambitious, greedy"
"2504","amoroso (adj)","loving, affectionate"
"2505","animado (adj)","excited, lively"
"2506","ansioso (adj)","anxious eager"
"2507","auxiliar (adj)","auxiliary, ancillary"
"2508","británico (adj)","British"
"2509","brusco (adj)","brusque, abrupt, sudden"
"2510","callado (adj)","quiet, reserved"
"2511","casero (adj)","homemade"
"2512","célebre (adj)","famous, renowned"
"2513","chileno (adj)","Chilean"
"2514","colgado (adj)","hanging"
"2515","colonial (adj)","colonial"
"2516","cómico (adj)","comic"
"2517","contemporáneo (adj)","contemporary"
"2518","contradictorio (adj)","contradictory"
"2519","décimo (adj)","tenth"
"2520","delgado (adj)","thin, skinny"
"2521","delicioso (adj)","delicious, delightful, charming"
"2522","despacio (adj)","slow, slowly"
"2523","destacado (adj)","outstanding, leading"
"2524","dicho (nm)","saying, proverb (nm)"
"2525","discreto (adj)","discreet, tactful"
"2526","disponible (adj)","available"
"2527","distinguido (adj)","distinguished"
"2528","dotado (adj)","endowed, gifted"
"2529","dudoso (adj)","doubtful, dubious"
"2530","ejecutivo (adj)","executive"
"2531","electoral (adj)","electoral"
"2532","electrónico (adj)","electronic"
"2533","enamorado (adj)","in love"
"2534","encantado (adj)","pleased, delighted"
"2535","encendido (adj)","turned on, burning"
"2536","enérgico (adj)","energetic, vigorous"
"2537","espantoso (adj)","frightening, dreadful"
"2538","estupendo (adj)","marvelous, stupendous"
"2539","estúpido (adj)","stupid, idiotic"
"2540","financiero (adj)","financial"
"2541","flexible (adj)","flexible"
"2542","formidable (adj)","formidable, tremendous"
"2543","frágil (adj)","fragile, weak"
"2544","genial (adj)","brilliant, inspired"
"2545","geográfico (adj)","geographical"
"2546","gracioso (adj)","funny, charming, amusing"
"2547","grato (adj)","agreeable, pleasant"
"2548","gratuito (adj)","free, arbitrary, gratuitous"
"2549","heroico (adj)","heroic"
"2550","honesto (adj)","honest"
"2551","ignorante (adj)","ignorant"
"2552","iluminado (adj)","illuminated"
"2553","ilustrado (adj)","learned, illustrated"
"2554","indirecto (adj)","indirect"
"2555","innecesario (adj)","unnecessary"
"2556","innumerable (adj)","innumerable, countless"
"2557","insoportable (adj)","unbearable, intolerable"
"2558","insuficiente (adj)","insufficient"
"2559","intacto (adj)","intact"
"2560","intermedio (adj)","interim, intermediate (adj)"
"2561","interminable (adj)","endless, interminable"
"2562","irregular (adj)","irregular"
"2563","laboral (adj)","labor, industry (adj)"
"2564","lamentable (adj)","regrettable"
"2565","materno (adj)","maternal"
"2566","mediano (adj)","average, medium, ordinary"
"2567","miserable (adj)","wretched, miserable"
"2568","molesto (adj)","annoyed, bothered, upset"
"2569","mortal (adj)","mortal, lethal, deadly (adj)"
"2570","mudo (adj)","mute, silent"
"2571","nativo (adj)","native"
"2572","notorio (adj)","notorious, noticeable"
"2573","obligatorio (adj)","obligatory, compulsory"
"2574","optimista (adj)","optimistic"
"2575","pacífico (adj)","peaceful"
"2576","pálido (adj)","pale, ghastly, faded"
"2577","pasajero (nm)","passenger (nm)"
"2578","poético (adj)","poetic"
"2579","policial (adj)","police (adj)"
"2580","potente (adj)","potent, powerful"
"2581","preferible (adj)","preferable"
"2582","preso (nm)","prisoner (nm)"
"2583","procedente (adj)","coming from&nbsp;[also proveniente]"
"2584","psicológico (adj)","psychological"
"2585","puntual (adj)","punctual"
"2586","quemado (adj)","burned, burnt"
"2587","quieto (adj)","still, motionless, calm"
"2588","referente (adj)","concerning"
"2589","regional (adj)","regional"
"2590","repentino (adj)","sudden [also súbito]"
"2591","restante (adj)","remaining"
"2592","ridículo (adj)","ridiculous, absurd (adj)"
"2593","rotundo (adj)","categorical"
"2594","rubio (adj)","blonde, fair"
"2595","satisfactorio (adj)","satisfactory"
"2596","sexto (adj)","sixth"
"2597","silencioso (adj)","quiet, silent"
"2598","simbólico (adj)","symbolic"
"2599","solemne (adj)","solemn"
"2600","soltero (adj)","single, not married"
"2601","sorprendido (adj)","surprised"
"2602","sostenido (adj)","sustained, steady"
"2603","tardío (adj)","late, belated"
"2604","teatral (adj)","theatrical"
"2605","temporal (adj)","temporary"
"2606","tenso (adj)","tight, tense"
"2607","usado (adj)","worn out, old, used"
"2608","vago (adj)","vague"
"2609","valiente (adj)","brave, courageous, bold"
"2610","vano (adj)","vain, useless"
"2611","vegetal (adj)","plant, vegetable (adj)"
"2612","verbal (adj)","verbal, oral"
"2613","vertical (adj)","vertical, upright"
"2614","vinculado (adj)","connected"
"2615","vuestro (adj)","your (plural familiar)"
"2616","anoche (adv)","last night"
"2617","automáticamente (adv)","automatically"
"2618","concretamente (adv)","specifically, exactly"
"2619","curiosamente (adv)","strangely, funnily enough"
"2620","desgraciadamente (adv)","unfortunately"
"2621","difícilmente (adv)","with difficulty"
"2622","habitualmente (adv)","habitually"
"2623","indudablemente (adv)","doubtless, undoubtedly"
"2624","lógicamente (adv)","logically"
"2625","ojalá (adv)","I hope that"
"2626","permanentemente (adv)","permanently"
"2627","propiamente (adv)","exactly, properly"
"2628","seriamente (adv)","seriously"
"2629","sucesivamente (adv)","successively, step by step"
"2630","tranquilamente (adv)","calmly, peacefully"
"2631","ama (nc)","housekeeper, housewife"
"2632","asistente (nc)","assistant"
"2633","cantante (nc)","singer"
"2634","civil (nc)","civilian (nc)"
"2635","descendiente (nc)","descendant"
"2636","dirigente (nc)","leader, director, manager"
"2637","turista (nc)","tourist (nc)"
"2638","abundancia (nf)","abundance"
"2639","adolescencia (nf)","adolescence"
"2640","advertencia (nf)","warning, notice"
"2641","afición (nf)","fondness, interest"
"2642","agresión (nf)","aggression, attack"
"2643","alarma (nf)","alarm"
"2644","aldea (nf)","small village"
"2645","alfombra (nf)","rug, carpet mat"
"2646","ansiedad (nf)","anxiety"
"2647","apertura (nf)","opening, beginning"
"2648","audiencia (nf)","audience, hearing"
"2649","autonomía (nf)","autonomy, range"
"2650","bala (nf)","bullet, shot"
"2651","barba (nf)","beard"
"2652","caña (nf)","cane, reed"
"2653","carencia (nf)","lack, shortage [also falta]"
"2654","catástrofe (nf)","catastrophe"
"2655","celebración (nf)","celebration"
"2656","célula (nf)","cell (biology)"
"2657","cerveza (nf)","beer, ale"
"2658","cintura (nf)","waist"
"2659","clave (adj)","key (adj)"
"2660","comedia (nf)","comedy, play, pretense"
"2661","complicación (nf)","complication"
"2662","concesión (nf)","awarding, concession"
"2663","conexión (nf)","connection, relationship"
"2664","confesión (nf)","confession, admission"
"2665","constancia (nf)","perseverance"
"2666","continuidad (nf)","continuity"
"2667","conveniencia (nf)","convenience, usefulness"
"2668","corbata (nf)","tie, sash"
"2669","corrupción (nf)","corruption"
"2670","decadencia (nf)","decline, decay"
"2671","depresión (nf)","depression, slump"
"2672","desconfianza (nf)","distrust"
"2673","diversión (nf)","fun, entertainment"
"2674","duración (nf)","duration, length"
"2675","emergencia (nf)","emergency"
"2676","envidia (nf)","envy"
"2677","escasez (nf)","scarcity, shortage"
"2678","espada (nf)","sword"
"2679","estabilidad (nf)","stability"
"2680","estadística (nf)","statistic"
"2681","estatua (nf)","statue"
"2682","excelencia (nf)","excellence"
"2683","falda (nf)","skirt"
"2684","feria (nf)","fair, festival"
"2685","fibra (nf)","fiber, grain"
"2686","ficción (nf)","fiction"
"2687","finalidad (nf)","purpose, aim"
"2688","fortaleza (nf)","fortress, strength"
"2689","frustración (nf)","frustration"
"2690","galería (nf)","gallery, balcony"
"2691","gallina (nf)","hen, coward"
"2692","garganta (nf)","throat, gorge"
"2693","grandeza (nf)","greatness, size"
"2694","grasa (nf)","grease, fat"
"2695","hembra (nf)","female, woman"
"2696","ideología (nf)","ideology"
"2697","ignorancia (nf)","ignorance"
"2698","indiferencia (nf)","indifference"
"2699","inspiración (nf)","inspiration, inhalation"
"2700","introducción (nf)","introduction"
"2701","jerarquía (nf)","hierarchy, rank"
"2702","junta (nf)","meeting, conference, seam"
"2703","justificación (nf)","justification"
"2704","lámpara (nf)","lamp"
"2705","lana (nf)","wool"
"2706","lástima (nf)","shame, pity"
"2707","licencia (nf)","license, permission"
"2708","magia (nf)","magic"
"2709","manga (nf)","sleeve"
"2710","máscara (nf)","mask"
"2711","matemática (nf)","mathematics"
"2712","mejora (nf)","improvement"
"2713","mención (nf)","mention"
"2714","mentalidad (nf)","mindset, mind"
"2715","mina (nf)","mine (nf)"
"2716","molestia (nf)","bother, nuisance, trouble"
"2717","motivación (nf)","motivation"
"2718","muñeca (nf)","doll, wrist"
"2719","negativa (nf)","negative, denial"
"2720","nostalgia (nf)","nostalgia, homesickness"
"2721","obsesión (nf)","mania, obsession"
"2722","orquesta (nf)","orchestra, dance band"
"2723","paja (nf)","straw, thatching"
"2724","pauta (nf)","guideline, rule, standard"
"2725","pelea (nf)","fight, quarrel"
"2726","permanencia (nf)","permanence, tenure"
"2727","persecución (nf)","pursuit, persecution"
"2728","pesadilla (nf)","nightmare"
"2729","pesca (nf)","fishing"
"2730","petición (nf)","request, petition"
"2731","placa (nf)","plaque, plate, badge"
"2732","plenitud (nf)","fullness, abundance"
"2733","porción (nf)","part, portion, share"
"2734","porquería (nf)","filth, junk"
"2735","previsión (nf)","forecast, precaution"
"2736","prima (nf)","female cousin, down payment"
"2737","prisa (nf)","hurry"
"2738","proximidad (nf)","proximity"
"2739","proyección (nf)","projection, screening"
"2740","pureza (nf)","purity, chastity"
"2741","rata (nf)","rat"
"2742","raya (nf)","line, ray, stripe"
"2743","recepción (nf)","reception, waiting-room"
"2744","receta (nf)","recipe, prescription"
"2745","recuperación (nf)","recovery, recuperation"
"2746","renta (nf)","income, rent "
"2747","repetición (nf)","repetition"
"2748","república (nf)","republic"
"2749","respiración (nf)","respiration, breath"
"2750","rutina (nf)","routine"
"2751","secuencia (nf)","sequence"
"2752","sed (nf)","thirst"
"2753","seda (nf)","silk"
"2754","seriedad (nf)","seriousness"
"2755","sierra (nf)","mountain range, saw"
"2756","tapa (nf)","cover, lid"
"2757","taza (nf)","cup, bowl"
"2758","timidez (nf)","shyness, timidity"
"2759","tinta (nf)","ink"
"2760","tontería (nf)","stupidity, stupid thing&nbsp;[also estupidez]"
"2761","traducción (nf)","translation"
"2762","traición (nf)","treason, betrayal"
"2763","transición (nf)","transition"
"2764","trascendencia (nf)","transcendent nature, significance"
"2765","trayectoria (nf)","trajectory, path"
"2766","uña (nf)","nail, fingernail, toenail"
"2767","utilización (nf)","use, utilization"
"2768","venganza (nf)","revenge, vengeance"
"2769","de veras<br />vera (nf)","really, for real"
"2770","acero (nm)","steel"
"2771","adorno (nm)","decoration, adornment"
"2772","aficionado (nm)","fan, devotee"
"2773","agujero (nm)","hole, opening"
"2774","alcalde (nm)","mayor"
"2775","aliento (nm)","breath, courage, spirit"
"2776","almuerzo (nm)","lunch"
"2777","amanecer (nm)","daybreak, dawn (nm)"
"2778","anillo (nm)","ring"
"2779","aplauso (nm)","applause, praise, acclaim"
"2780","archivo (nm)","archive, file, filing cabinet"
"2781","arroz (nm)","rice"
"2782","ascenso (nm)","promotion, climb"
"2783","asesinato (nm)","murder, assassination"
"2784","asesino (nm)","killer, assassin"
"2785","atractivo (nm)","attraction, charm (nm)"
"2786","auxilio (nm)","help, aid, assistance"
"2787","balance (nm)","outcome, balance"
"2788","balcón (nm)","balcony"
"2789","bando (nm)","faction, side"
"2790","bebé (nm)","baby"
"2791","beso (nm)","kiss"
"2792","billete (nm)","ticket, bill, note"
"2793","brillo (nm)","shine, twinkling, sparkle"
"2794","bronce (nm)","bronze"
"2795","cáncer (nm)","cancer"
"2796","cañón (nm)","canyon, cannon"
"2797","cartel (nm)","poster"
"2798","cartón (nm)","cardboard, carton, sketch"
"2799","casco (nm)","helmet"
"2800","castillo (nm)","castle"
"2801","cauce (nm)","riverbed, ditch"
"2802","cemento (nm)","cement, concrete"
"2803","centenar (nm)","hundred (nm)"
"2804","cerdo (nm)","pig, sow, slob"
"2805","cerro (nm)","hill"
"2806","comedor (nm)","dining room"
"2807","congreso (nm)","congress"
"2808","coraje (nm)","courage, toughness"
"2809","costado (nm)","side, flank"
"2810","costo (nm)","price, cost, expense"
"2811","crítico (nm)","critic (nm)"
"2812","cuaderno (nm)","notebook, workbook"
"2813","defensor (nm)","defender"
"2814","demonio (nm)","demon, devil"
"2815","desayuno (nm)","breakfast"
"2816","domicilio (nm)","residence, address"
"2817","dormitorio (nm)","bedroom, dormitory"
"2818","dulce (nm)","candy, sweets (nm)"
"2819","empeño (nm)","insistence, determination"
"2820","encanto (nm)","charm, spell"
"2821","enfrentamiento (nm)","confrontation"
"2822","engaño (nm)","deceit, falsehood, hoax"
"2823","entendimiento (nm)","understanding"
"2824","escudo (nm)","shield, coat of arms"
"2825","exilio (nm)","exile"
"2826","filo (nm)","cutting edge"
"2827","fragmento (nm)","fragment, passage"
"2828","globo (nm)","balloon, globe"
"2829","guante (nm)","glove"
"2830","hallazgo (nm)","finding, discovery"
"2831","horno (nm)","oven, furnace"
"2832","imperio (nm)","empire, fortune"
"2833","incidente (nm)","incident"
"2834","indicio (nm)","indication, sign"
"2835","infierno (nm)","hell, inferno"
"2836","ingenio (nm)","ingenuity, talent, wit"
"2837","invento (nm)","invention"
"2838","jugador (nm)","player, gambler"
"2839","ladrillo (nm)","brick"
"2840","lápiz (nm)","pencil"
"2841","latín (nm)","Latin (nm)"
"2842","logro (nm)","success, achievement"
"2843","macho (nm)","male, manliness"
"2844","maíz (nm)","corn, maize"
"2845","malestar (nm)","discomfort, unease, unrest"
"2846","mandato (nm)","mandate, order, command"
"2847","manifiesto (nm): poner de manifiesto ","to show"
"2848","martes (nm)","Tuesday"
"2849","miércoles (nm)","Wednesday"
"2850","ministerio (nm)","ministry"
"2851","mono (nm)","monkey"
"2852","monstruo (nm)","monster, monstrosity"
"2853","músculo (nm)","muscle"
"2854","nido (nm)","nest"
"2855","nudo (nm)","knot"
"2856","obispo (nm)","bishop"
"2857","observador (nm)","observer"
"2858","otoño (nm)","autumn"
"2859","pánico (nm)","panic"
"2860","párrafo (nm)","paragraph"
"2861","patrimonio (nm)","patrimony, inheritance"
"2862","petróleo (nm)","oil, petroleum"
"2863","plano (adj)","flat, plain, even, level (adj)"
"2864","plomo (nm)","lead, bullet"
"2865","pollo (nm)","chicken"
"2866","porcentaje (nm)","percentage"
"2867","portador (nm)","bearer, carrier"
"2868","prisionero (nm)","prisoner"
"2869","pulmón (nm)","lung"
"2870","quehacer (nm)","task, job, chore"
"2871","queso (nm)","cheese"
"2872","rango (nm)","rank, range"
"2873","rastro (nm)","track, sign, flea market"
"2874","razonamiento (nm)","reasoning"
"2875","recinto (nm)","grounds, precincts"
"2876","reparto (nm)","distribution, delivery"
"2877","restaurante (nm)","restaurant"
"2878","reto (nm)","challenge, defiance"
"2879","retorno (nm)","return [also regreso]"
"2880","rito (nm)","rite, ritual"
"2881","salario (nm)","salary, wages"
"2882","seguro (nm)","insurance (nm)"
"2883","suicidio (nm)","suicide"
"2884","susto (nm)","fright, scare"
"2885","taxi (nm)","taxi, cab"
"2886","televisor (nm)","television set"
"2887","timbre (nm)","doorbell, bell, seal, stamp"
"2888","toque (nm)","touch, ringing, warning"
"2889","trámite (nm)","procedure, step, requirement"
"2890","tramo (nm)","section, stretch, plot"
"2891","transcurso (nm)","passing, course, lapse"
"2892","trayecto (nm)","trajectory, course, path"
"2893","viajero (nm)","traveler, passenger"
"2894","vientre (nm)","womb, belly"
"2895","vigor (nm)","force, strength, vigor"
"2896","vínculo (nm)","tie, bond, link"
"2897","cazador (nm/f)","hunter"
"2898","conductor (nm/f)","driver, conductor"
"2899","enfermero (nm/f)","nurse"
"2900","historiador (nm/f)","historian"
"2901","pastor (nm/f)","shepherd, pastor"
"2902","diecisiete (num)","seventeen"
"2903","noventa (num)","ninety"
"2904","quinientos (num)","five hundred"
"2905","trescientos (num)","three hundred"
"2906","excepto (prep)","except for"
"2907","contigo (pron)","with you"
"2908","vos (pron)","you (subj singular familiar) [also tú]"
"2909","acelerar (v)","to accelerate, speed up"
"2910","acertar (v)","to get right"
"2911","acostar (v)","to put/go to bed"
"2912","adorar (v)","to worship, adore"
"2913","agitar (v)","to shake, move"
"2914","aislar (v)","to isolate, insulate"
"2915","alentar (v)","to encourage"
"2916","aliviar (v)","to lighten, relieve, comfort"
"2917","alternar (v)","to alternate"
"2918","aludir (v)","to allude to"
"2919","aplastar (v)","to flatten, crush, smash"
"2920","aplaudir (v)","to clap, applaud"
"2921","apoderar (v)","to take power"
"2922","arder (v)","to burn, glow"
"2923","arrebatar (v)","to snatch, grab"
"2924","arriesgar (v)","to risk, venture"
"2925","asentar (v)","to settle, establish, locate"
"2926","asesinar (v)","to murder, assassinate"
"2927","asignar (v)","to assign, allocate"
"2928","bañar (v)","to bathe, take a bath"
"2929","barrer (v)","sweep, clean out"
"2930","batir (v)","to beat an object"
"2931","bautizar (v)","to baptize, christen"
"2932","beneficiar (v)","to benefit"
"2933","burlar (v)","to mock"
"2934","calmar (v)","to calm, soothe, relieve"
"2935","cazar (v)","to hunt"
"2936","cenar (v)","to dine"
"2937","clavar (v)","to nail"
"2938","cocinar (v)","to cook"
"2939","compensar (v)","to compensate, make up for"
"2940","conectar (v)","to connect, plug in"
"2941","culminar (v)","to culminate, accomplish"
"2942","debatir (v)","to debate, discuss"
"2943","demorar (v)","to delay, take time"
"2944","desatar (v)","to untie, unleash, spark off"
"2945","descargar (v)","to unleash, unload"
"2946","descuidar (v)","to neglect"
"2947","desembocar (v)","to flow, lead into"
"2948","desplegar (v)","to unfold, deploy"
"2949","despreciar (v)","to despise, scorn"
"2950","disimular (v)","to disguise, hide, pretend"
"2951","disolver (v)","to dissolve"
"2952","disputar (v)","to dispute, contest"
"2953","eludir (v)","to evade, avoid, elude"
"2954","emerger (v)","to emerge, surface"
"2955","enamorar (v)","to fall in love"
"2956","encajar (v)","to insert, fit well"
"2957","ensayar (v)","to test,&nbsp;rehearse"
"2958","evolucionar (v)","to evolve, develop"
"2959","excluir (v)","to exclude, reject"
"2960","fallecer (v)","to pass away (to die)"
"2961","finalizar (v)","to end, finalize"
"2962","fluir (v)","to flow"
"2963","herir (v)","to wound, hurt"
"2964","improvisar (v)","to improvise"
"2965","insinuar (v)","to insinuate, hint"
"2966","localizar (v)","to locate, find, localize"
"2967","motivar (v)","to motivate, cause"
"2968","nadar (v)","to swim"
"2969","navegar (v)","to navigate, sail"
"2970","ocasionar (v)","to occasion, bring about"
"2971","odiar (v)","to hate"
"2972","oler (v)","to smell"
"2973","perfeccionar (v)","to perfect"
"2974","perjudicar (v)","to endanger"
"2975","persistir (v)","to persist"
"2976","preceder (v)","to precede"
"2977","precipitar (v)","to plunge, hurl, rush"
"2978","preservar (v)","to preserve"
"2979","presidir (v)","to preside over"
"2980","presumir (v)","to boast, show off, suppose"
"2981","prevenir (v)","to avoid, prevent [also evitar]"
"2982","programar (v)","to plan, program"
"2983","reemplazar (v)","to replace"
"2984","reforzar (v)","to reinforce, strengthen"
"2985","regir (v)","to rule, govern, manage"
"2986","remitir (v)","to remit"
"2987","reponer (v)","to replace, restore"
"2988","resumir (v)","to summarize"
"2989","retomar (v)","to retake, restart"
"2990","rodar (v)","to roll, run, scatter"
"2991","rogar (v)","to implore, pray, ask"
"2992","rozar (v)","to touch lightly"
"2993","soplar (v)","to blow (wind)"
"2994","subrayar (v)","to underline, highlight, emphasize"
"2995","suscitar (v)","to arouse, provoke"
"2996","temblar (v)","to tremble, shake"
"2997","tornar (v)","to transform, turn"
"2998","velar (v)","to watch over"
"2999","volcar (v)","to turn/knock over, empty"
"3000","votar (v)","to vote"
"3001","abstracto (adj)","abstract"
"3002","africano (adj)","African"
"3003","agrícola (adj)","agricultural, farming"
"3004","ambiguo (adj)","ambiguous"
"3005","anual (adj)","annual, yearly"
"3006","apasionado (adj)","passionate"
"3007","apretado (adj)","tight, jammed"
"3008","apto (adj)","appropriate, fit, able"
"3009","asombroso (adj)","amazing"
"3010","áspero (adj)","rough, coarse, harsh"
"3011","asustado (adj)","scared, frightened"
"3012","autoritario (adj)","authoritarian"
"3013","autorizado (adj)","authorized"
"3014","biológico (adj)","biological"
"3015","brutal (adj)","brutal, savage"
"3016","civilizado (adj)","civilized"
"3017","comparable (adj)","comparable"
"3018","complementario (adj)","additional, complementary"
"3019","consagrado (adj)","dedicated, consecrated"
"3020","costoso (adj)","costly, expensive"
"3021","creativo (adj)","creative"
"3022","cubano (adj)","Cuban"
"3023","denso (adj)","heavy, dense, thick"
"3024","desaparecido (adj)","missing"
"3025","desigual (adj)","uneven, unequal"
"3026","despierto (adj)","awake"
"3027","diplomático (adj)","diplomatic (adj)"
"3028","disperso (adj)","spread out"
"3029","dominante (adj)","dominant"
"3030","educativo (adj)","educational"
"3031","eficiente (adj)","efficient"
"3032","egoísta (adj)","selfish"
"3033","embarazada (adj)","pregnant"
"3034","emocional (adj)","emotional"
"3035","encantador (adj)","charming"
"3036","espeso (adj)","thick, dense, stiff"
"3037","estático (adj)","static, motionless"
"3038","estudioso (adj)","studious"
"3039","exigente (adj)","demanding, urgent"
"3040","exótico (adj)","exotic"
"3041","fabuloso (adj)","fabulous, fantastic"
"3042","fascinante (adj)","fascinating"
"3043","feroz (adj)","ferocious, fierce"
"3044","flaco (adj)","thin, frail"
"3045","franco (adj)","open, frank, outspoken"
"3046","funcional (adj)","functional"
"3047","furioso (adj)","furious"
"3048","global (adj)","global, overall"
"3049","glorioso (adj)","glorious"
"3050","horizontal (adj)","horizontal"
"3051","hostil (adj)","hostile, unfriendly"
"3052","imaginario (adj)","imaginary"
"3053","impreso (adj)","printed"
"3054","incierto (adj)","uncertain"
"3055","inédito (adj)","unpublished"
"3056","ingenuo (adj)","naive, ingenuous"
"3057","insignificante (adj)","insignificant"
"3058","insólito (adj)","unusual, uncommon"
"3059","integrante (adj)","integral, part of a group"
"3060","inverso (adj)","inverse, opposite"
"3061","invisible (adj)","invisible"
"3062","latinoamericano (adj)","Latin American"
"3063","leal (adj)","loyal, faithful"
"3064","lingüístico (adj)","linguistic"
"3065","liso (adj)","smooth, flat, straight"
"3066","lujoso (adj)","luxurious"
"3067","manual (nm)","manual, handbook (nm)"
"3068","marginal (adj)","marginal, minor"
"3069","masivo (adj)","mass, massive"
"3070","matemático (adj)","mathematical"
"3071","mensual (adj)","monthly"
"3072","mexicano (adj)","Mexican"
"3073","oral (adj)","oral"
"3074","orgánico (adj)","organic"
"3075","parcial (adj)","partial, biased"
"3076","pardo (adj)","brown, dark, dim"
"3077","penoso (adj)","painful, laborious"
"3078","pésimo (adj)","dreadful, awful"
"3079","poblado (adj)","populated"
"3080","portugués (adj)","Portuguese"
"3081","preferido (adj)","preferred, favorite"
"3082","privilegiado (adj)","privileged"
"3083","progresivo (adj)","progressive"
"3084","propicio (adj)","appropriate, suitable"
"3085","rebelde (adj)","rebel (adj)"
"3086","repleto (adj)","full, overcrowded"
"3087","representativo (adj)","representative (adj)"
"3088","respetuoso (adj)","respectful"
"3089","saludable (adj)","healthy, wholesome [also sano]"
"3090","sangriento (adj)","bloody"
"3091","sistemático (adj)","systematic"
"3092","solar (adj)","solar"
"3093","sospechoso (adj)","suspicious"
"3094","subterráneo (adj)","underground"
"3095","sumo (adj)","utmost, highest"
"3096","tecnológico (adj)","technological"
"3097","temeroso (adj)","fearful"
"3098","tendido (adj)","spread, hung, laid out"
"3099","tibio (adj)","lukewarm"
"3100","torpe (adj)","clumsy, awkward, slow"
"3101","tropical (adj)","tropical"
"3102","turco (adj)","Turkish"
"3103","vasco (adj)","Basque"
"3104","vigente (adj)","in force, valid"
"3105","virgen (nf)","virgin (nf)"
"3106","adónde (adv)","to where?"
"3107","antaño (adv)","in days gone by, last year"
"3108","antemano (adv)","beforehand, in advance"
"3109","asimismo (adv)","as well, also, moreover"
"3110","básicamente (adv)","basically"
"3111","diariamente (adv)","daily (adv)"
"3112","enormemente (adv)","enormously"
"3113","enteramente (adv)","completely, entirely"
"3114","excesivamente (adv)","excessively"
"3115","extraordinariamente (adv)","extraordinarily"
"3116","físicamente (adv)","physically"
"3117","frecuentemente (adv)","frequently, often"
"3118","fuertemente (adv)","strongly"
"3119","inclusive (adv)","including, even"
"3120","inevitablemente (adv)","inevitably"
"3121","intensamente (adv)","intensely"
"3122","lamentablemente (adv)","regrettably"
"3123","literalmente (adv)","literally"
"3124","obviamente (adv)","obviously"
"3125","simultáneamente (adv)","simultaneously"
"3126","sinceramente (adv)","sincerely"
"3127","suavemente (adv)","softly"
"3128","cuidadosamente (adv)","carefully"
"3129","compatriota (nc)","fellow countryman"
"3130","rival (nc)","rival"
"3131","acumulación (nf)","accumulation"
"3132","acusación (nf)","accusation, charge"
"3133","adaptación (nf)","adaptation"
"3134","adquisición (nf)","acquisition"
"3135","agricultura (nf)","agriculture, farming"
"3136","aguja (nf)","needle, spire, stylus"
"3137","alianza (nf)","alliance"
"3138","alteración (nf)","alteration, change"
"3139","alusión (nf)","allusion, hint"
"3140","amplitud (nf)","breadth, extent, range"
"3141","antigüedad (nf)","antiquity, seniority"
"3142","aprobación (nf)","approval, consent"
"3143","asamblea (nf)","assembly"
"3144","beca (nf)","scholarship, grant"
"3145","bestia (nf)","beast, brute"
"3146","bicicleta (nf)","bicycle"
"3147","cabecera (nf)","head, header"
"3148","capilla (nf)","chapel"
"3149","caridad (nf)","charity"
"3150","casita (nf)","cottage"
"3151","ceniza (nf)","ash"
"3152","censura (nf)","censorship, criticism"
"3153","central (nf)","headquarters (nf)"
"3154","chispa (nf)","spark"
"3155","clínica (nf)","clinic"
"3156","comunión (nf)","communion"
"3157","condena (nf)","sentence in prison, penalty"
"3158","conservación (nf)","conservation"
"3159","corrección (nf)","correction, amendment"
"3160","cortina (nf)","curtain, screen"
"3161","crueldad (nf)","cruelty, harshness"
"3162","cuadra (nf)","city block, stable"
"3163","cubierta (nf)","covering, top, lid"
"3164","cumbre (nf)","summit, top"
"3165","cuna (nf)","cradle, birth, lineage"
"3166","cúpula (nf)","cupola, dome"
"3167","dedicación (nf)","dedication, devotion"
"3168","devoción (nf)","devotion"
"3169","dieta (nf)","diet"
"3170","difusión (nf)","spread, diffusion"
"3171","disputa (nf)","dispute, argument, quarrel"
"3172","dueña (nf)","landlady, owner (f)"
"3173","dureza (nf)","hardness, toughness"
"3174","elaboración (nf)","production [also producción]"
"3175","electricidad (nf)","electricity"
"3176","especulación (nf)","speculation, conjecture"
"3177","espina (nf)","thorn, spine"
"3178","ética (nf)","ethics"
"3179","etiqueta (nf)","label, etiquette"
"3180","exactitud (nf)","accuracy"
"3181","excursión (nf)","excursion"
"3182","excusa (nf)","excuse"
"3183","expansión (nf)","expansion, spreading"
"3184","expedición (nf)","expedition"
"3185","explotación (nf)","exploitation, cultivation"
"3186","fachada (nf)","front of a building"
