"index","word","kroman","meaning","kanja"
"2838","게시판","ge-si-pan","bulletin board, notice board","揭示板"
"2839","성장","seong-jang","growth","成長"
"2840","드물다","deu-mur-da","to be rare",""
"2841","분야","bun-ya","field, area (abstract)","分野"
"2842","키스","ki-seu","kiss",""
"2843","건설하다","geon-seor-ha-da","to build, construct","建設"
"2844","바늘","ba-neur","needle",""
"2845","식","sig","form, style;<div>ceremony</div>","式"
"2846","가버리다","ga-beo-ri-da","to be gone",""
"2847","작업","jag-eob","work, operation","作業"
"2848","교장","gyo-jang","principal, headmaster","校長"
"2849","개다","gae-da","to fold up;<div>to clear up</div>",""
"2850","자체","ja-ce","oneself, itself","自體"
"2851","창밖","cang-bagg","outside the window","窓-"
"2852","완전하다","wan-jeon-ha-da","to be perfect, complete","完全"
"2853","그다지","geu-da-ji","(not) so much, in that way",""
"2854","소감","so-gam","thoughts (on), impression","所感"
"2855","가져다주다","ga-jyeo-da-ju-da","to bring, deliver",""
"2856","비서","bi-seo","secretary","秘書"
"2857","절반","jeor-ban","half","折半"
"2858","비우다","bi-u-da","to empty, vacate",""
"2859","체육","ce-yug","physical education","體育"
"2860","전날","jeon-nar","the day before, previously","前-"
"2861","희생하다","heui-saeng-ha-da","to sacrifice","犧牲"
"2862","쇼","syo","show",""
"2863","매진","mae-jin","sold out, sellout","賣盡"
"2864","무너지다","mu-neo-ji-da","to collapse, cave in",""
"2865","폭력","pog-ryeog","violence, force","暴力"
"2866","문화재","mun-hwa-jae","cultural assets","文化財"
"2867","지니다","ji-ni-da","to keep, carry, have",""
"2868","어휘","eo-hwi","vocabulary","語彙"
"2869","소나무","so-na-mu","pine tree",""
"2870","유지하다","yu-ji-ha-da","to keep up, maintain","維持"
"2871","끝내","ggeut-nae","to the last, to the end",""
"2872","감옥","gam-og","jail","監獄"
"2873","미끄럽다","mi-ggeu-reob-da","to be slippery",""
"2874","시선","si-seon","one's eyes","視線"
"2875","예고","ye-go","advance notice, warning","豫告"
"2876","두렵다","du-ryeob-da","to be fearful, afraid, frightened",""
"2877","호흡","ho-heub","breathing","呼吸"
"2878","가로","ga-ro","width",""
"2879","구입하다","gu-ib-ha-da","to purchase","購入"
"2880","옛날얘기","yes-nar-yae-gi","folk tale, legend",""
"2881","여전히","yeo-jeon-hi","still, as ever","如前"
"2882","넘어오다","neom-eo-o-da","to come over, cross over;<div>to fall, come down</div>",""
"2883","시청률","si-ceong-ryur","(viewer) ratings","視聽率"
"2884","동기","dong-gi","motive;<div>same joining time;</div><div>sibling</div>","動機,&nbsp;同期,&nbsp;同氣"
"2885","쫓다","jjoc-da","to chase, pursue",""
"2886","최저","coe-jeo","lowest, minimum","最低"
"2887","톤","ton","ton (count.);<div>tone</div>",""
"2888","도망치다","do-mang-ci-da","to run away, escape","逃亡"
"2889","파랑","pa-rang","blue",""
"2890","운명","un-myeong","fate, destiny","運命"
"2891","딱딱하다","ddag-ddag-ha-da","to be hard, stiff, firm",""
"2892","책임감","caeg-im-gam","sense of responsibility","責任感"
"2893","상징","sang-jing","symbol","象徵"
"2894","건네다","geon-ne-da","to pass, hand over, deliver",""
"2895","외부","oe-bu","the outside, the exterior","外部"
"2896","줄무늬","jur-mu-neui","stripes",""
"2897","진정하다","jin-jeong-ha-da","to be true, real, genuine;<div>to calm down</div>","眞正,&nbsp;鎭靜"
"2898","잔뜩","jan-ddeug","to the greatest possible extent, to the fullest",""
"2899","소득","so-deug","income, profit","所得"
"2900","망설이다","mang-seor-i-da","to hesitate, be hesitant",""
"2901","예식장","ye-sig-jang","ceremony hall, wedding hall","禮式場"
"2902","분노","bun-no","rage, fury","憤怒"
"2903","속이다","sog-i-da","to deceive, cheat, trick",""
"2904","가사","ga-sa","lyrics;<div>housework, chores</div>","歌詞,&nbsp;家事"
"2905","손발","son-bar","hands and feet",""
"2906","추측하다","cu-ceug-ha-da","to guess, suppose","推測"
"2907","아드님","a-deu-nim","son (hon.)",""
"2908","면","myeon","side, face;<div>cotton</div>","面,&nbsp;綿"
"2909","빠져나가다","bba-jyeo-na-ga-da","to escape, slip away",""
"2910","산업","san-eob","industry","産業"
"2911","용도","yong-do","use, purpose","用途"
"2912","펼치다","pyeor-ci-da","to open, unroll, outstretch",""
"2913","화장","hwa-jang","make-up;<div>cremation</div>","化粧,&nbsp;火葬"
"2914","온몸","on-mom","entire body",""
"2915","적응하다","jeog-eung-ha-da","to adapt, adjust","適應"
"2916","종이컵","jong-i-keob","paper cup",""
"2917","대체","dae-ce","(why) on earth, (what) the hell;<div>substitution</div>","大體,&nbsp;代替"
"2918","깨뜨리다","ggae-ddeu-ri-da","to break, smash, violate",""
"2919","지혜","ji-hye","wisdom, wit","智慧"
"2920","승무원","seung-mu-weon","crewman, stewardess","乘務員"
"2921","외치다","oe-ci-da","to cry out, shout, yell",""
"2922","미만","mi-man","under, less than","未滿"
"2923","길가","gir-ga","roadside",""
"2924","의지하다","eui-ji-ha-da","to rely, depend, lean on","依支"
"2925","뒷산","dwis-san","the mountain behind","-山"
"2926","영양","yeong-yang","nutrition, nourishment","營養"
"2927","빌려주다","bir-ryeo-ju-da","to lend, loan",""
"2928","인도","in-do","India;<div>sidewalk</div>","人道,&nbsp;引渡"
"2929","화장지","hwa-jang-ji","facial tissue, toilet paper","化粧紙"
"2930","아끼다","a-ggi-da","to spare, save, begrudge",""
"2931","기관","gi-gwan","engine;<div>institute, school;</div><div>organ</div>","機關,&nbsp;器官"
"2932","술병","sur-byeong","liquor bottle","-甁"
"2933","다정하다","da-jeong-ha-da","to be affectionate, friendly, intimate","多情"
"2934","개나리","gae-na-ri","forsythia",""
"2935","성명","seong-myeong","full name;<div>statement</div>","姓名,&nbsp;聲明"
"2936","괴롭히다","goe-rob-hi-da","to harass, annoy, trouble",""
"2937","농민","nong-min","farmer","農民"
"2938","사방","sa-bang","all directions, everywhere","四方"
"2939","파다","pa-da","to dig, excavate",""
"2940","벌금","beor-geum","fine, penalty","罰金"
"2941","버튼","beo-teun","button",""
"2942","해치다","hae-ci-da","to injure, harm, damage","害"
"2943","송아지","song-a-ji","calf",""
"2944","열정","yeor-jeong","passion","熱情"
"2945","이어지다","i-eo-ji-da","to be connected, be continued",""
"2946","반응","ban-eung","response, reaction","反應"
"2947","외모","oe-mo","appearance","外貌"
"2948","깨닫다","ggae-dad-da","to realize, recognize",""
"2949","화면","hwa-myeon","screen, picture","畵面"
"2950","줄기","jur-gi","trunk, stem",""
"2951","해당하다","hae-dang-ha-da","to be relevant, to correspond (to)","該當"
"2952","밤낮","bam-naj","day and night",""
"2953","풍습","pung-seub","customs, manners","風習"
"2954","썰렁하다","sseor-reong-ha-da","to be chilly;<div>to be not funny, awkward</div>",""
"2955","재주","jae-ju","talent, skill","才-"
"2956","노선","no-seon","route, line","路線"
"2957","손잡다","son-jab-da","to hold hands",""
"2958","주방","ju-bang","kitchen","廚房"
"2959","한꺼번에","han-ggeo-beon-e","all at once, all together",""
"2960","제거하다","je-geo-ha-da","to remove, eliminate, get rid of","除去"
"2961","월드컵","weor-deu-keob","World Cup",""
"2962","분석","bun-seog","analysis","分析"
"2963","내다보다","nae-da-bo-da","to look out",""
"2964","이력서","i-ryeog-seo","resume, CV","履歷書"
"2965","장관","jang-gwan","minister;<div>magnificent sight, grandeur</div>","長官,&nbsp;壯觀"
"2966","묻히다","mud-hi-da","to be buried, concealed;<div>to smear</div>",""
"2967","철저히","ceor-jeo-hi","thoroughly, completely","徹底"
"2968","터","teo","site, ground",""
"2969","분리하다","bun-ri-ha-da","to separate","分離"
"2970","따님","dda-nim","daughter (hon.)",""
"2971","승객","seung-gaeg","passenger","乘客"
"2972","건드리다","geon-deu-ri-da","to touch, meddle with, provoke",""
"2973","하숙","ha-sug","boarding house","下宿"
"2974","의도","eui-do","intention, aim, purpose","意圖"
"2975","굶다","gurm-da","to starve, go hungry, skip a meal",""
"2976","약점","yag-jeom","weakness, weak point","弱點"
"2977","이웃집","i-us-jib","house next door",""
"2978","접근하다","jeob-geun-ha-da","to approach, come close, access","接近"
"2979","햇볕","haes-byeot","sunbeam, sunlight",""
"2980","비밀번호","bi-mir-beon-ho","password, PIN","秘密番號"
"2981","조깅하다","jo-ging-ha-da","to jog",""
"2982","근육","geun-yug","muscle","筋肉"
"2983","독감","dog-gam","flu","毒感"
"2984","다리다","da-ri-da","to iron, press",""
"2985","수단","su-dan","means, way","手段"
"2986","잔돈","jan-don","change (money)",""
"2987","상쾌하다","sang-kwae-ha-da","to be refreshing, fresh","爽快"
"2988","꽃잎","ggoc-ip","petal",""
"2989","변명","byeon-myeong","excuse, justification","辨明"
"2990","터지다","teo-ji-da","to burst, blow up, explode",""
"2991","중독","jung-dog","poisoning;<div>addiction</div>","中毒"
"2992","해산물","hae-san-mur","seafood, marine products","海産物"
"2993","묵다","mug-da","to stay (over night);<div>to get old</div>",""
"2994","법칙","beob-cig","law, rule","法則"
"2995","책가방","caeg-ga-bang","student backpack",""
"2996","야근하다","ya-geun-ha-da","to work (overtime) at night","夜勤"
"2997","깜빡","ggam-bbag","with a flash",""
"2998","소화","so-hwa","digestion","消化"
"2999","서늘하다","seo-neur-ha-da","to be chilly, cool",""
"3000","관계자","gwan-gye-ja","the interested parties, affected persons","關係者"
"3001","항의","hang-eui","protest, complaint","抗議"
"3002","밀리다","mir-ri-da","to be delayed, be behind, be overdue",""
"3003","액자","aeg-ja","picture frame","額子"
"3004","온라인","on-ra-in","online",""
"3005","건조하다","geon-jo-ha-da","to be dry","乾燥"
"3006","빨강","bbar-gang","red",""
"3007","침","cim","saliva, spit;<div>needle, sting</div>","鍼"
"3008","놓아두다","noh-a-du-da","to leave (as is)",""
"3009","신제품","sin-je-pum","new product","新製品"
"3010","미혼","mi-hon","single, unmarried","未婚"
"3011","갖추다","gaj-cu-da","to get ready, prepare",""
"3012","배려","bae-ryeo","consideration, regard","配慮"
"3013","발등","bar-deung","top of the foot",""
"3014","반납하다","ban-nab-ha-da","to return, give back, hand in","返納"
"3015","나뭇가지","na-mus-ga-ji","tree branch",""
"3016","참고","cam-go","reference","參考"
"3017","촌스럽다","con-seu-reob-da","to be rustic, tacky, out-of-style","村-"
"3018","찬성","can-seong","agreement, consent, approval","贊成"
"3019","재벌","jae-beor","conglomerate, plutocrat","財閥"
"3020","환하다","hwan-ha-da","to be bright;<div>to be familiar (with)</div>",""
"3021","예문","ye-mun","example sentence","例文"
"3022","꼬리","ggo-ri","tail",""
"3023","심사하다","sim-sa-ha-da","to screen, evaluate, judge","審査"
"3024","아이디어","a-i-di-eo","idea",""
"3025","자녀","ja-nyeo","children","子女"
"3026","빠져나오다","bba-jyeo-na-o-da","to escape, get out",""
"3027","선약","seon-yag","previous engagement","先約"
"3028","진단","jin-dan","diagnosis","診斷"
"3029","버티다","beo-ti-da","to endure, last, hold out",""
"3030","교복","gyo-bog","school uniform","校服"
"3031","술잔","sur-jan","wine glass, shot glass","-盞"
"3032","진실되다","jin-sir-doe-da","to be true, truthful, sincere, real","眞實"
"3033","외할아버지","oe-har-a-beo-ji","maternal grandfather","外-"
"3034","균형","gyun-hyeong","balance","均衡"
"3035","태워주다","tae-weo-ju-da","to give a person a ride",""
"3036","차별","ca-byeor","discrimination","差別"
"3037","해수욕장","hae-su-yog-jang","swimming beach","海水浴場"
"3038","맞히다","maj-hi-da","to hit the mark, guess right",""
"3039","압력","ab-ryeog","pressure","壓力"
"3040","품","pum","bosom, breast;<div>work, labor</div>",""
"3041","수리하다","su-ri-ha-da","to repair, fix;<div>to accept, receive</div>","修理,&nbsp;受理"
"3042","다만","da-man","only, merely",""
"3043","환불","hwan-bur","refund","還拂"
"3044","붙잡다","but-jab-da","to catch, hold, grasp",""
"3045","관점","gwan-jeom","point of view","觀點"
"3046","소방관","so-bang-gwan","fireman","消防官"
"3047","잇다","is-da","to connect, join",""
"3048","우정","u-jeong","friendship","友情"
"3049","볼링","bor-ring","bowling",""
"3050","사소하다","sa-so-ha-da","to be trivial, insignificant","些少"
"3051","필수","pir-su","essential, required","必須"
"3052","복숭아","bog-sung-a","peach",""
"3053","전설","jeon-seor","legend","傳說"
"3054","빼앗다","bbae-as-da","to take away, rob;<div>to fascinate, captivate</div>",""
"3055","귀신","gwi-sin","ghost, spirit","鬼神"
"3056","개미","gae-mi","ant",""
"3057","착각하다","cag-gag-ha-da","to be under an illusion, delude oneself","錯覺"
"3058","평가","pyeong-ga","appraisal, evaluation, assessment","評價"
"3059","고무","go-mu","rubber",""
"3060","천재","ceon-jae","genius","天才"
"3061","거치다","geo-ci-da","to go through, pass (through)",""
"3062","최종","coe-jong","last, final","最終"
"3063","볼","bor","cheek;<div>ball</div>",""
"3064","망하다","mang-ha-da","to go to ruin, go bankrupt, perish","亡-"
"3065","부채","bu-cae","fan, folding fan;<br>debt, liabilities","負債"
"3066","뒷문","dwis-mun","back door","-門"
"3067","화제","hwa-je","topic, subject of conversation","話題"
"3068","녹다","nog-da","to melt, thaw, unfreeze",""
"3069","해안","hae-an","coast, seaside","海岸"
"3070","목숨","mog-sum","life",""
"3071","겸손하다","gyeom-son-ha-da","to be modest, humble","謙遜"
"3072","자막","ja-mag","subtitles;<div>caption</div>","字幕"
"3073","시스템","si-seu-tem","system",""
"3074","보상","bo-sang","compensation;<div>reward</div>","補償,&nbsp;報償"
"3075","잘리다","jar-ri-da","to be cut, be fired",""
"3076","정수기","jeong-su-gi","water purifier","淨水器"
"3077","구석","gu-seog","corner",""
"3078","순진하다","sun-jin-ha-da","to be naive","純眞"
"3079","독립","dog-rib","independence","獨立"
"3080","저절로","jeo-jeor-ro","by itself, automatically",""
"3081","위협","wi-hyeob","threat, intimidation","威脅"
"3082","나아가다","na-a-ga-da","to advance, proceed",""
"3083","논리적","non-ri-jeog","logical","論理的"
"3084","마디","ma-di","knuckle;<div>word</div>",""
"3085","연장하다","yeon-jang-ha-da","to extend, renew","延長"
"3086","주식","ju-sig","stocks, shares;<div>principal item of diet</div>","株式,&nbsp;主食"
"3087","밤새","bam-sae","all night",""
"3088","이용자","i-yong-ja","user","利用者"
"3089","비추다","bi-cu-da","to light up, shed light;<div>to reflect, mirror</div>",""
"3090","접속","jeob-sog","access","接續"
"3091","꽉","ggwag","tightly, firmly;<div>closely</div>",""
"3092","불완전하다","bur-wan-jeon-ha-da","to be incomplete, imperfect","不完全"
"3093","제약","je-yag","restriction, limitation;<div>manufacture of medicines</div>","制約,&nbsp;製藥"
"3094","이메일","i-me-ir","email",""
"3095","장면","jang-myeon","scene (in a movie etc.)","場面"
"3096","되돌리다","doe-dor-ri-da","to restore, put back, return",""
"3097","휴가철","hyu-ga-ceor","vacation season","休暇-"
"3098","장난","jang-nan","game, playing (for fun)",""
"3099","통과하다","tong-gwa-ha-da","to pass, get through","通過"
"3100","과로","gwa-ro","working too much, excessive labor","過勞"
"3101","손등","son-deung","back of the hand",""
"3102","소극장","so-geug-jang","small theater","小劇場"
"3103","혼나다","hon-na-da","to be scolded, have a hard time",""
"3104","부대","bu-dae","unit, troops;<div>bag, sack</div>","部隊,&nbsp;負袋"
"3105","이리저리","i-ri-jeo-ri","here and there, this way and that",""
"3106","구분하다","gu-bun-ha-da","to divide, classify","區分"
"3107","일체","ir-ce","all, the whole;<div>entirely, absolutely</div>","一切,&nbsp;一體"
"3108","여우","yeo-u","fox",""
"3109","첫인상","ceos-in-sang","one's first impression","-印象"
"3110","삼다","sam-da","to adopt, use a thing as",""
"3111","자주색","ja-ju-saeg","purple, violet","紫朱色"
"3112","막상","mag-sang","in reality",""
"3113","순수하다","sun-su-ha-da","to be pure, genuine","純粹"
"3114","예의","ye-eui","(good) manners, courtesy","禮儀"
"3115","쌍둥이","ssang-dung-i","twins","雙-"
"3116","상사","sang-sa","one's boss, superior","上司"
"3117","흔하다","heun-ha-da","to be common, commonplace",""
"3118","의문","eui-mun","question, doubt","疑問"
"3119","코미디","ko-mi-di","comedy",""
"3120","화해하다","hwa-hae-ha-da","to be reconciled, make up with","和解"
"3121","작용","jag-yong","action, effect, function","作用"
"3122","호주머니","ho-ju-meo-ni","pocket","胡-"
"3123","언론","eon-ron","the press, the media","言論"
"3124","켜져있다","kyeo-jyeo-iss-da","to be lightened, be turned on",""
"3125","상상력","sang-sang-ryeog","imagination","想像力"
"3126","건너","geon-neo","across",""
"3127","방해하다","bang-hae-ha-da","to disturb, interrupt","妨害"
"3128","세월","se-weor","(long period of) time","歲月"
"3129","엉터리","eong-teo-ri","rubbish, nonsense, fake, cheat",""
"3130","연기자","yeon-gi-ja","actor, actress","演技者"
"3131","되찾다","doe-caj-da","to recover, regain",""
"3132","형식","hyeong-sig","form, formality","形式"
"3133","늦잠","neuj-jam","sleeping late (in the morning), oversleeping",""
"3134","적절하다","jeog-jeor-ha-da","to be appropriate, adequate, proper","適切"
"3135","명예","myeong-ye","honor, distinction, fame","名譽"
"3136","핑계","ping-gye","excuse, pretext",""
"3137","불규칙","bur-gyu-cig","irregular","不規則"
"3138","두려워하다","du-ryeo-weo-ha-da","to be afraid, scared of",""
"3139","기적","gi-jeog","miracle;<br>steam whistle","奇蹟,&nbsp;汽笛"
"3140","오토바이","o-to-ba-i","motorcycle",""
"3141","통역하다","tong-yeog-ha-da","to interpret (translate orally)","通譯"
"3142","중식","jung-sig","Chinese food;<div>lunch</div>","中食"
"3143","입맛","ib-mas","appetite, taste",""
"3144","곡","gog","tune, music, song","曲"
"3145","애쓰다","ae-sseu-da","to make efforts, go to trouble",""
"3146","신분","sin-bun","social position","身分"
"3147","한참","han-cam","for some time",""
"3148","구조하다","gu-jo-ha-da","to save, rescue","救助"
"3149","이민","i-min","emigration;<div>immigration</div>","移民"
"3150","복수","bog-su","revenge;<br>plural","復讐,&nbsp;複數"
"3151","차라리","ca-ra-ri","rather, preferably",""
"3152","의외","eui-oe","surprise, unexpected thing","意外"
"3153","지난날","ji-nan-nar","days gone by, the past",""
"3154","연주하다","yeon-ju-ha-da","to play (a musical instrument), to perform","演奏"
"3155","오페라","o-pe-ra","opera",""
"3156","구매","gu-mae","purchase","購買"
"3157","잠자리","jam-ja-ri","dragonfly",""
"3158","놀리다","nor-ri-da","to tease, kid, make fun of;<div>to leave something idle, unused</div>",""
"3159","왕복","wang-bog","round trip","往復"
"3160","발걸음","bar-geor-eum","step, pace",""
"3161","응원하다","eung-weon-ha-da","to cheer, support","應援"
"3162","물결","mur-gyeor","wave",""
"3163","수집하다","su-jib-ha-da","to collect, gather","蒐集"
"3164","살아가다","sar-a-ga-da","to lead a life, get along, keep living",""
"3165","막차","mag-ca","the last train/bus","-車"
"3166","출판하다","cur-pan-ha-da","to publish","出版"
"3167","꽂다","ggoj-da","to put into, stick into",""
"3168","조절하다","jo-jeor-ha-da","to control, adjust, regulate","調節"
"3169","면접","myeon-jeob","(job) interview","面接"
"3170","맞이하다","maj-i-ha-da","to welcome, greet, receive",""
"3171","주장","ju-jang","insistence, assertion;<div>captain, leader</div>","主張,&nbsp;主將"
"3172","재킷","jae-kis","jacket",""
"3173","그네","geu-ne","swings",""
"3174","동작","dong-jag","movement, action","動作"
"3175","도리어","do-ri-eo","on the contrary, instead",""
"3176","먹이","meog-i","food, feed",""
"3177","혼내다","hon-nae-da","to scold, teach a person a lesson;<div>to scare</div>","魂"
"3178","이만","i-man","just this much, this far, to this extent",""
"3179","강의","gang-eui","lecture","講義"
"3180","눈사람","nun-sa-ram","snowman",""
"3181","초점","co-jeom","focus","焦點"
"3182","지켜보다","ji-kyeo-bo-da","to watch, observe",""
"3183","야간","ya-gan","night, night time","夜間"
"3184","까다","gga-da","to peel;<div>to hatch</div>",""
"3185","취향","cwi-hyang","taste, liking, preference","趣向"
"3186","대낮","dae-naj","the middle of the day",""
"3187","식량","sig-ryang","food, provision","食糧"
"3188","부러지다","bu-reo-ji-da","to be broken, snap",""
"3189","널리","neor-ri","widely, broadly, all over",""
"3190","대사","dae-sa","lines, dialogue;<div>ambassador</div>","臺詞,&nbsp;大使"
"3191","엉망","eong-mang","wreck, mess, bad shape",""
"3192","곧장","god-jang","straight, directly",""
"3193","우회전하다","u-hoe-jeon-ha-da","to turn right","右回轉"
"3194","빛나다","bic-na-da","to shine, gleam, be bright",""
"3195","노트북","no-teu-bug","notebook, laptop",""
"3196","그제","geu-je","day before yesterday",""
"3197","의논하다","eui-non-ha-da","to discuss (with), consult","議論"
"3198","벌떡","beor-ddeog","suddenly, abruptly",""
"3199","찢다","jjij-da","to tear, rip",""
"3200","지시하다","ji-si-ha-da","to direct, instruct","指示"
"3201","대다","dae-da","to place, put;<div>to feel, touch</div>",""
"3202","동그랗다","dong-geu-rah-da","to be round",""
"3203","공업","gong-eob","industry","工業"
"3204","시험지","si-heom-ji","test paper","試驗紙"
"3205","쐬다","ssoe-da","to get (fresh air), be exposed (to sun)",""
"3206","드러나다","deu-reo-na-da","to be exposed, emerge, come out",""
"3207","자존심","ja-jon-sim","self-respect, pride","自尊心"
"3208","이끌다","i-ggeur-da","to lead, guide",""
"3209","바탕","ba-tang","foundation, basis",""
"3210","나뉘다","na-nwi-da","to be divided, be apart",""
"3211","저울","jeo-ur","scales, balance",""
"3212","의식","eui-sig","consciousness;<div>ceremony, ritual</div>","意識"
"3213","세일","se-ir","sale",""
"3214","못되다","mos-doe-da","to be bad, mean, evil;<div>to be under, short of</div>",""
"3215","실","sir","thread, yarn",""
"3216","걸치다","geor-ci-da","to extend, stretch;<div>to wear, throw on</div>",""
"3217","부정","bu-jeong","denial, negation;<div>corruption, dishonesty;</div><div>unfaithfulness</div>","否定,&nbsp;不正,&nbsp;不貞"
"3218","지도하다","ji-do-ha-da","to guide, direct, coach","指導"
"3219","감싸다","gam-ssa-da","to cover, wrap (up), shelter",""
"3220","설사","seor-sa","diarrhea;<div>even if</div>","泄瀉,&nbsp;設使"
"3221","존중하다","jon-jung-ha-da","to appreciate, respect","尊重"
"3222","세대","se-dae","generation","世代"
"3223","겪다","gyeogg-da","to undergo, suffer",""
"3224","기울다","gi-ur-da","to tilt, lean, decline",""
"3225","호기심","ho-gi-sim","curiosity","好奇心"
"3226","참여하다","cam-yeo-ha-da","to participate (in)","參與"
"3227","상식","sang-sig","common sense; general knowledge","常識"
"3228","싱싱하다","sing-sing-ha-da","to be fresh",""
"3229","눈병","nun-byeong","eye disease","-病"
"3230","놀이공원","nor-i-gong-weon","amusement park","--公園"
"3231","사투리","sa-tu-ri","dialect",""
"3232","덕수궁","deog-su-gung","Deoksu Palace","德壽宮"
"3233","문서","mun-seo","document, papers","文書"
"3234","잠그다","jam-geu-da","to lock",""
"3235","품질","pum-jir","quality","品質"
"3236","전원","jeon-weon","countryside, rural areas;<div>electricity supply;</div><div>all members, everyone</div>","田園,&nbsp;電源,&nbsp;全員"
"3237","클래식","keur-rae-sig","classic",""
"3238","머물다","meo-mur-da","to stay, remain",""
"3239","직후","jig-hu","immediately after","直後"
"3240","음성","eum-seong","voice;<div>negative</div>","音聲,&nbsp;陰性"
"3241","번개","beon-gae","lightning",""
"3242","돌멩이","dor-meng-i","stone, pebble",""
"3243","기념품","gi-nyeom-pum","souvenir","紀念品"
"3244","훈련","hun-ryeon","training, practice","訓鍊/訓練"
"3245","거품","geo-pum","bubble, foam",""
"3246","런던","reon-deon","London",""
"3247","빚","bij","debt, loan",""
"3248","투자하다","tu-ja-ha-da","to invest","投資"
"3249","범죄","beom-joe","crime","犯罪"
"3250","잘나다","jar-na-da","to be good, smart, distinguished",""
"3251","예방하다","ye-bang-ha-da","to prevent","豫防"
"3252","대충","dae-cung","roughly, approximately;<div>almost, practically</div>",""
"3253","임무","im-mu","duty, task","任務"
"3254","위기","wi-gi","crisis","危機"
"3255","동그라미","dong-geu-ra-mi","circle",""
"3256","유적지","yu-jeog-ji","historical site","遺跡地"
"3257","마주치다","ma-ju-ci-da","to meet with, come across",""
"3258","철도","ceor-do","railway","鐵道"
"3259","증거","jeung-geo","evidence","證據"
"3260","충돌","cung-dor","collision, crash, impact","衝突"
"3261","줄거리","jur-geo-ri","outline, synopsis, plot;<br>stalk, stem",""
"3262","대개","dae-gae","mostly, generally","大槪"
"3263","차이점","ca-i-jeom","differences, points of distinction","差異點"
"3264","상점","sang-jeom","store, shop","商店"
"3265","페이지","pe-i-ji","page",""
"3266","다소","da-so","more or less, to some degree","多少"
"3267","방안","bang-an","plan, way","方案"
"3268","제시하다","je-si-ha-da","to suggest, propose, present","提示"
"3269","순하다","sun-ha-da","to be gentle, mild, meek","順"
"3270","줄어들다","jur-eo-deur-da","to grow smaller, decrease",""
"3271","인류","in-ryu","humanity, mankind","人類"
"3272","박히다","bag-hi-da","to be stuck (in), embedded",""
"3273","실체","sir-ce","truth, true nature","實體"
"3274","지겹다","ji-gyeob-da","to be tedious, boring, dull",""
"3275","구별하다","gu-byeor-ha-da","to distinguish, differentiate","區別"
"3276","자살","ja-sar","suicide","自殺"
"3277","관람","gwan-ram","viewing, inspection","觀覽"
"3278","실컷","sir-keos","to one's satisfaction, as much as one likes",""
"3279","다듬다","da-deum-da","to trim;<div>to refine</div>",""
"3280","처리하다","ceo-ri-ha-da","to handle, deal with, take care of","處理"
"3281","긁다","geurk-da","to scratch, scrape",""
"3282","시달리다","si-dar-ri-da","to suffer (from)",""
"3283","장군","jang-gun","general, admiral","將軍"
"3284","캠퍼스","kaem-peo-seu","campus",""
"3285","논문","non-mun","thesis, research paper","論文"
"3286","개성","gae-seong","personality, individuality","個性"
"3287","밤새우다","bam-sae-u-da","to stay up all night",""
"3288","불리하다","bur-ri-ha-da","to be unfavorable, disadvantageous","不利"
"3289","불평","bur-pyeong","complaint","不平"
"3290","아예","a-ye","from the beginning;<div>by any means</div>",""
"3291","음력","eum-ryeog","lunar calendar","陰曆"
"3292","데우다","de-u-da","to heat (up), warm (up)",""
"3293","법원","beob-weon","court (of law)","法院"
"3294","워낙","weo-nag","very, by nature",""
"3295","반면에","ban-myeon-e","on the other hand","反面"
"3296","재판","jae-pan","trial;<div>second edition</div>","裁判,&nbsp;再版"
"3297","쓸데없다","sseur-de-eobs-da","to be useless",""
"3298","증명하다","jeung-myeong-ha-da","to prove, demonstrate, confirm","證明"
"3299","기대다","gi-dae-da","to lean (on), rest (against)",""
"3300","감각","gam-gag","sense, feeling","感覺"
"3301","조언","jo-eon","advice","助言"
"3302","환상","hwan-sang","illusion, fantasy","幻想"
"3303","물러서다","mur-reo-seo-da","to step back, back off",""
"3304","모험","mo-heom","adventure","冒險"
"3305","설정","seor-jeong","setup, setting","設定"
"3306","송별회","song-byeor-hoe","farewell party","送別會"
"3307","천국","ceon-gug","heaven, paradise","天國"
"3308","가로등","ga-ro-deung","street lamp, street light","街路燈"
"3309","연구실","yeon-gu-sir","(professor's) office;<div>laboratory</div>","硏究室"
"3310","전시하다","jeon-si-ha-da","to exhibit, display","展示"
"3311","확보하다","hwag-bo-ha-da","to secure, ensure, assure","確保"
"3312","충고","cung-go","advice","忠告"
"3313","달콤하다","dar-kom-ha-da","to be sweet, sugary",""
"3314","작동","jag-dong","operation (of a device)","作動"
"3315","얌전하다","yam-jeon-ha-da","to be gentle, well-behaved, obedient, modest",""
"3316","거스름돈","geo-seu-reum-don","change (coins)",""
"3317","핑크","ping-keu","pink",""
"3318","합계","hab-gye","sum, total","合計"
"3319","손길","son-gir","touch of a hand",""
"3320","차비","ca-bi","transportation fare","車費"
"3321","껴안다","ggyeo-an-da","to hug, embrace",""
"3322","띄다","ddeui-da","to leave a space;<div>to be visible, stand out</div>",""
"3323","무리","mu-ri","unreasonableness, excess;<div>group, crowd</div>","無理"
"3324","북한","bug-han","North Korea","北韓"
"3325","인상적","in-sang-jeog","impressive","印象的"
"3326","미처","mi-ceo","as far as, to that extent",""
"3327","벌주다","beor-ju-da","to punish",""
"3328","책임지다","caeg-im-ji-da","to take responsibility","責任"
